"","input","filtered","denoised","merged","tabled","nochim","percent_retained"
"Bee_01",61973,51986,51577,49125,49125,42656,68.8
"Bee_02",61385,53273,53017,51312,51312,45086,73.4
"Bee_03",57466,49204,48914,47173,47169,42921,74.7
"Bee_04",158018,131749,131283,126163,126160,110887,70.2
"Bee_05",58593,49830,49693,48011,48011,41544,70.9
"Bee_06",92202,76117,75671,71739,71739,57387,62.2
"Bee_07",125859,103599,102985,99188,99184,85665,68.1
"Bee_08",136138,117109,116719,113236,113231,102196,75.1
"Bee_09",76403,63463,63207,60403,60400,52000,68.1
"Bee_10",54061,47260,46968,45563,45561,40381,74.7
"Bee_105",29113,21552,21455,21212,21208,21131,72.6
"Bee_11",32239,28634,28575,28394,28388,28022,86.9
"Bee_12",26632,22944,22876,22728,22359,22359,84
"Bee_126",14554,9777,9701,9620,9620,9200,63.2
"Bee_13",50701,44961,44879,44629,44615,44124,87
"Bee_14",37242,31537,31439,31196,30440,30440,81.7
"Bee_147",24913,18681,18578,18442,18442,18241,73.2
"Bee_15",58641,51472,51318,51187,51150,51150,87.2
"Bee_16",105621,91672,91428,90812,90740,90574,85.8
"Bee_168",31883,23185,23065,22857,22857,22669,71.1
"Bee_17",44286,38778,38700,38367,38367,38125,86.1
"Bee_18",28116,24723,24664,24483,24483,24277,86.3
"Bee_189",20492,14564,14450,14340,14337,14337,70
"Bee_19",18202,16177,16140,16103,16071,16071,88.3
"Bee_20",25553,22175,22127,22024,21972,21972,86
"Bee_21",30529,23897,23854,23776,23767,23380,76.6
"Bee_42",49582,37372,37217,36881,36881,36636,73.9
"Bee_63",19694,14995,14927,14825,14820,14616,74.2
"Bee_84",9716,7156,7109,7073,7073,6998,72
"H2O_1",23448,17311,17197,17112,17110,16874,72
"H2O_2",53549,41568,41397,41107,41097,40904,76.4
"H2O_3",461,315,283,248,248,232,50.3
"MOCK",101115,88706,88295,85788,85788,73330,72.5
