"","Sample_ID","Picogreen","Negative","Exp_ID","Replicate","Treatment","CopyNum","CopyNum_norm","HH","Tot","HH_norm","is_kit_blank","is_water_blank","is_mock_control","is_inoculum_control","is_negative","is_control_any"
"Bee_01","Bee_01",116.4606637,FALSE,"1.564",1,"CL",2023472874,598438713,4797,79,60.72151899,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_02","Bee_02",106.200003,FALSE,"1.44",1,"CL",1327310812,448792233,7083,79,89.65822785,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_03","Bee_03",135.1636402,FALSE,"1.43",1,"CL",642972176,207187203,6177,79,78.18987342,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_04","Bee_04",48.9567727,FALSE,"1.158",1,"CL",588598421,380415245,6702,79,84.83544304,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_05","Bee_05",112.4213403,FALSE,"1.244",1,"CL",1250272782,319229290,3509,79,44.41772152,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_06","Bee_06",82.24980259,FALSE,"1.242",1,"CL",4987766509,1133196670,2336,79,29.56962025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_07","Bee_07",79.90760114,FALSE,"1.347",1,"CL",677287861,293514093,4112,79,52.05063291,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_08","Bee_08",66.13147355,FALSE,"1.353",1,"CL",653826110,566507378,5260,79,66.58227848,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_09","Bee_09",135.4017568,FALSE,"1.139",1,"CL",1905303070,487281975,4123,79,52.18987342,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_10","Bee_10",81.70429911,FALSE,"1.575",1,"CL",4367851024,991095751,1763,79,22.3164557,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_11","Bee_11",147.7881493,FALSE,"2.113",1,"MD",297933439,38149180,3617,82,44.1097561,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_12","Bee_12",5.745104118,FALSE,"2.665",1,"MD",1649042,2454303,5257,82,64.1097561,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_13","Bee_13",140.4541581,FALSE,"2.207",1,"MD",112433629,165618068,23,82,0.280487805,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_14","Bee_14",2.645258942,FALSE,"2.42",1,"MD",1770092,2777208,2739,82,33.40243902,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_15","Bee_15",75.92023045,FALSE,"2.394",1,"MD",207119875,71683588,5374,82,65.53658537,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_16","Bee_16",39.44509692,FALSE,"2.245",1,"MD",54246290,92338209,3983,82,48.57317073,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_17","Bee_17",136.6269749,FALSE,"2.217",1,"MD",1460165347,562132923,66,82,0.804878049,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_18","Bee_18",141.5148593,FALSE,"2.66",1,"MD",813710937,353405798,3766,82,45.92682927,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_19","Bee_19",134.6311249,FALSE,"2.140",1,"MD",33989204,25573575,1057,82,12.8902439,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bee_20","Bee_20",95.99129503,FALSE,"2.202",1,"MD",23344380,23425919,4226,82,51.53658537,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
