"sample","Treatment","Observed","Shannon","InvSimpson"
"Bee_01","CL",18,1.91404318183885,5.23998640332545
"Bee_02","CL",20,2.15519580365965,6.10148170443949
"Bee_03","CL",17,2.11969917565352,6.61966788025771
"Bee_04","CL",16,1.74212045953093,4.18770638729163
"Bee_05","CL",12,1.30682069592624,2.81744262261555
"Bee_06","CL",14,1.94508575016535,5.62679290474018
"Bee_07","CL",21,1.96294020764853,5.05139629346665
"Bee_08","CL",20,2.00411720766427,5.73817607906601
"Bee_09","CL",16,1.9987208470262,5.89314702208856
"Bee_10","CL",15,1.83421322668743,4.72738560163963
"Bee_11","MD",4,0.512987495354153,1.48941117605331
"Bee_12","MD",29,0.54962361300187,1.27893056569877
"Bee_13","MD",5,0.667073001269288,1.88966918996498
"Bee_14","MD",31,0.561461145905659,1.26966083977798
"Bee_15","MD",10,0.0367784565801617,1.0097618322529
"Bee_16","MD",22,0.563013387379564,1.55790820737766
"Bee_17","MD",4,0.267790687957667,1.12877671568857
"Bee_18","MD",2,0.452994798971134,1.38849571708527
"Bee_19","MD",4,0.313991176599528,1.20184841783749
"Bee_20","MD",8,0.0666120952985689,1.02093122022489
