"sample","Treatment","metric","value"
"Bee_01","CL","Observed",18
"Bee_01","CL","Shannon",1.91404318183885
"Bee_01","CL","InvSimpson",5.23998640332545
"Bee_02","CL","Observed",20
"Bee_02","CL","Shannon",2.15519580365965
"Bee_02","CL","InvSimpson",6.10148170443949
"Bee_03","CL","Observed",17
"Bee_03","CL","Shannon",2.11969917565352
"Bee_03","CL","InvSimpson",6.61966788025771
"Bee_04","CL","Observed",16
"Bee_04","CL","Shannon",1.74212045953093
"Bee_04","CL","InvSimpson",4.18770638729163
"Bee_05","CL","Observed",12
"Bee_05","CL","Shannon",1.30682069592624
"Bee_05","CL","InvSimpson",2.81744262261555
"Bee_06","CL","Observed",14
"Bee_06","CL","Shannon",1.94508575016535
"Bee_06","CL","InvSimpson",5.62679290474018
"Bee_07","CL","Observed",21
"Bee_07","CL","Shannon",1.96294020764853
"Bee_07","CL","InvSimpson",5.05139629346665
"Bee_08","CL","Observed",20
"Bee_08","CL","Shannon",2.00411720766427
"Bee_08","CL","InvSimpson",5.73817607906601
"Bee_09","CL","Observed",16
"Bee_09","CL","Shannon",1.9987208470262
"Bee_09","CL","InvSimpson",5.89314702208856
"Bee_10","CL","Observed",15
"Bee_10","CL","Shannon",1.83421322668743
"Bee_10","CL","InvSimpson",4.72738560163963
"Bee_11","MD","Observed",4
"Bee_11","MD","Shannon",0.512987495354153
"Bee_11","MD","InvSimpson",1.48941117605331
"Bee_12","MD","Observed",29
"Bee_12","MD","Shannon",0.54962361300187
"Bee_12","MD","InvSimpson",1.27893056569877
"Bee_13","MD","Observed",5
"Bee_13","MD","Shannon",0.667073001269288
"Bee_13","MD","InvSimpson",1.88966918996498
"Bee_14","MD","Observed",31
"Bee_14","MD","Shannon",0.561461145905659
"Bee_14","MD","InvSimpson",1.26966083977798
"Bee_15","MD","Observed",10
"Bee_15","MD","Shannon",0.0367784565801617
"Bee_15","MD","InvSimpson",1.0097618322529
"Bee_16","MD","Observed",22
"Bee_16","MD","Shannon",0.563013387379564
"Bee_16","MD","InvSimpson",1.55790820737766
"Bee_17","MD","Observed",4
"Bee_17","MD","Shannon",0.267790687957667
"Bee_17","MD","InvSimpson",1.12877671568857
"Bee_18","MD","Observed",2
"Bee_18","MD","Shannon",0.452994798971134
"Bee_18","MD","InvSimpson",1.38849571708527
"Bee_19","MD","Observed",4
"Bee_19","MD","Shannon",0.313991176599528
"Bee_19","MD","InvSimpson",1.20184841783749
"Bee_20","MD","Observed",8
"Bee_20","MD","Shannon",0.0666120952985689
"Bee_20","MD","InvSimpson",1.02093122022489
