"taxon","p_value","p_adj"
"ASV1",6.38644475043699e-05,0.000664024587563173
"ASV2",0.000110670764593862,0.000664024587563173
"ASV3",0.0016993946489269,0.00475830501699531
"ASV4",0.000163048935536538,0.000856006911566824
"ASV5",0.0153901670820191,0.0269327923935334
"ASV6",6.38644475043699e-05,0.000664024587563173
"ASV7",0.0147190147573457,0.0269327923935334
"ASV8",0.0014440000412428,0.00433200012372839
"ASV9",8.74498653670146e-05,0.000664024587563173
"ASV10",6.38644475043699e-05,0.000664024587563173
"ASV11",8.74498653670146e-05,0.000664024587563173
"ASV12",0.000231245708643341,0.00107914664033559
"ASV13",0.000751179433478043,0.00242688740046752
"ASV14",0.000110670764593862,0.000664024587563173
"ASV15",0.0149313895787988,0.0269327923935334
"ASV16",0.0149313895787988,0.0269327923935334
"ASV18",0.234266284446692,0.245979598669026
"ASV19",0.000751179433478043,0.00242688740046752
"ASV20",0.16807831903497,0.18577077367023
"ASV21",0.45620283388373,0.467329732271138
"ASV22",0.00221254203073604,0.0058079228306821
"ASV23",0.0349830964081209,0.0565111557361953
"ASV24",0.16807831903497,0.18577077367023
"ASV25",0.0149313895787988,0.0269327923935334
"ASV31",0.0349830964081209,0.0565111557361953
"ASV32",0.000751179433478043,0.00242688740046752
"ASV33",0.000751179433478043,0.00242688740046752
"ASV34",0.234266284446692,0.245979598669026
"ASV36",0.16807831903497,0.18577077367023
"ASV39",0.16807831903497,0.18577077367023
"ASV40",0.16807831903497,0.18577077367023
"ASV41",0.0775832974851315,0.112780820759852
"ASV42",0.16807831903497,0.18577077367023
"ASV43",0.00597196362459534,0.0147542630725297
"ASV45",0.0149313895787988,0.0269327923935334
"ASV48",0.0778724714770408,0.112780820759852
"ASV50",0.0149313895787988,0.0269327923935334
"ASV51",0.0778724714770408,0.112780820759852
"ASV55",0.16807831903497,0.18577077367023
"ASV56",0.16807831903497,0.18577077367023
"ASV72",0.16807831903497,0.18577077367023
"ASV126",0.625660378985748,0.625660378985748
